"Product Code","Product Name",Variant,Expected,Counted
01608049,"Axxis Draken S Wind B3 Gloss Fluoro Yellow Helmet",S,0.0000,
01608049,"Axxis Draken S Wind B3 Gloss Fluoro Yellow Helmet",M,0.0000,
01608049,"Axxis Draken S Wind B3 Gloss Fluoro Yellow Helmet",L,0.0000,
01608049,"Axxis Draken S Wind B3 Gloss Fluoro Yellow Helmet",XL,0.0000,
03101449,"Axxis Draken S Wind B0 Matt White Helmet",S,0.0000,
03101449,"Axxis Draken S Wind B0 Matt White Helmet",M,0.0000,
03101449,"Axxis Draken S Wind B0 Matt White Helmet",L,0.0000,
03101449,"Axxis Draken S Wind B0 Matt White Helmet",XL,0.0000,
03713388,"MT Hummer Helmet Brave A5 Matt Red",S,0.0000,
03713388,"MT Hummer Helmet Brave A5 Matt Red",M,1.0000,
03713388,"MT Hummer Helmet Brave A5 Matt Red",L,1.0000,
03713388,"MT Hummer Helmet Brave A5 Matt Red",XL,0.0000,
03893220,"Axxis Segment Solid A1 Matt Black Helmet",S,0.0000,
03893220,"Axxis Segment Solid A1 Matt Black Helmet",M,1.0000,
03893220,"Axxis Segment Solid A1 Matt Black Helmet",L,0.0000,
03893220,"Axxis Segment Solid A1 Matt Black Helmet",XL,0.0000,
05858579,"Axxis Segment Arrows Matt Black Orange Helmet",S,0.0000,
05858579,"Axxis Segment Arrows Matt Black Orange Helmet",M,0.0000,
05858579,"Axxis Segment Arrows Matt Black Orange Helmet",L,0.0000,
05858579,"Axxis Segment Arrows Matt Black Orange Helmet",XL,0.0000,
07097076,"Axxis Segment Solid A1 Gloss Black Helmet",S,0.0000,
07097076,"Axxis Segment Solid A1 Gloss Black Helmet",M,-1.0000,
07097076,"Axxis Segment Solid A1 Gloss Black Helmet",L,0.0000,
07097076,"Axxis Segment Solid A1 Gloss Black Helmet",XL,0.0000,
09803440,"MT Hummer Helmet Brick Gloss Fluoro Yellow",S,0.0000,
09803440,"MT Hummer Helmet Brick Gloss Fluoro Yellow",M,0.0000,
09803440,"MT Hummer Helmet Brick Gloss Fluoro Yellow",L,0.0000,
09803440,"MT Hummer Helmet Brick Gloss Fluoro Yellow",XL,0.0000,
10222288,"Axxis Segment Leders C5 Matt Red Helmet",S,0.0000,
10222288,"Axxis Segment Leders C5 Matt Red Helmet",M,0.0000,
10222288,"Axxis Segment Leders C5 Matt Red Helmet",L,0.0000,
10222288,"Axxis Segment Leders C5 Matt Red Helmet",XL,0.0000,
10791998,"Axxis Segment Now C7 Matt Blue Helmet",S,0.0000,
